country,timestamp,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,servious_critical,total_cases_1M_pop,total_deaths_1M_pop
Afghanistan,2020-03-24 17:48:51,74.0,34.0,1.0,0.0,1.0,72.0,0.0,2.0,0.03
Albania,2020-03-24 17:48:51,123.0,19.0,5.0,1.0,10.0,108.0,2.0,43.0,2.0
Andorra,2020-03-24 17:48:51,164.0,31.0,1.0,0.0,1.0,162.0,7.0,2123.0,13.0
Angola,2020-03-24 17:48:51,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.09,0.0
Antigua and Barbuda,2020-03-24 17:48:51,3.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,0.0
Argentina,2020-03-24 17:48:51,301.0,0.0,5.0,1.0,51.0,245.0,0.0,7.0,0.1
Armenia,2020-03-24 17:48:51,249.0,14.0,0.0,0.0,4.0,245.0,6.0,84.0,0.0
Aruba,2020-03-24 17:48:51,12.0,3.0,0.0,0.0,1.0,11.0,0.0,112.0,0.0
Azerbaijan,2020-03-24 17:48:51,87.0,15.0,1.0,0.0,10.0,76.0,6.0,9.0,0.1
Bahamas,2020-03-24 17:48:51,4.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,0.0
Bahrain,2020-03-24 17:48:51,390.0,13.0,3.0,1.0,164.0,223.0,2.0,229.0,2.0
Bangladesh,2020-03-24 17:48:51,39.0,6.0,4.0,1.0,5.0,30.0,0.0,0.2,0.02
Barbados,2020-03-24 17:48:51,17.0,0.0,0.0,0.0,0.0,17.0,0.0,59.0,0.0
Belarus,2020-03-24 17:48:51,81.0,0.0,0.0,0.0,22.0,59.0,0.0,9.0,0.0
Belize,2020-03-24 17:48:51,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0
Benin,2020-03-24 17:48:51,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.0
Bermuda,2020-03-24 17:48:51,6.0,0.0,0.0,0.0,0.0,6.0,0.0,96.0,0.0
Bhutan,2020-03-24 17:48:51,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
Bolivia,2020-03-24 17:48:51,28.0,1.0,0.0,0.0,0.0,28.0,0.0,2.0,0.0
Bosnia and Herzegovina,2020-03-24 17:48:51,153.0,17.0,2.0,1.0,2.0,149.0,1.0,47.0,0.6
Brunei,2020-03-24 17:48:51,104.0,13.0,0.0,0.0,2.0,102.0,2.0,238.0,0.0
Bulgaria,2020-03-24 17:48:51,218.0,17.0,3.0,0.0,3.0,212.0,8.0,31.0,0.4
Burkina Faso,2020-03-24 17:48:51,114.0,15.0,4.0,0.0,7.0,103.0,0.0,5.0,0.2
